draw_number,draw_date,first_prize,second_prize,third_prize,starter_1,starter_2,starter_3,starter_4,starter_5,starter_6,starter_7,starter_8,starter_9,starter_10,consolation_1,consolation_2,consolation_3,consolation_4,consolation_5,consolation_6,consolation_7,consolation_8,consolation_9,consolation_10
5021,2023-06-03,2909,0906,1990,1988,3605,5045,5537,6216,6699,7256,9063,9547,9700,1566,1759,2138,2435,4073,4641,4967,7739,8250,9397
5022,2023-06-04,1192,1663,4996,0520,0631,1002,2430,2617,3550,5584,5860,5976,8214,0154,0299,0692,3228,4962,5561,5733,6326,9087,9446
5023,2023-06-07,5860,9783,9209,4639,5642,5666,6515,6784,7710,7738,8403,8975,9456,1485,1683,2057,4213,7851,8037,8887,8943,9006,9837
5024,2023-06-10,0086,0393,8010,0971,1472,1924,3268,4291,4879,5859,7431,8657,8831,2021,2058,2341,3471,3800,4223,4798,5180,5373,6911
5025,2023-06-11,2728,0195,4996,0203,0408,1491,3026,3265,5371,5373,5426,6412,6777,2714,3290,4560,4677,5126,5352,6314,7123,9800,9930
5026,2023-06-14,5756,7403,7031,0667,1293,2425,5465,5693,5854,7288,8168,8236,9779,0953,1056,1200,2322,2595,4403,6336,6710,7849,9863
5027,2023-06-17,2200,8314,0704,0088,0157,0200,2178,2234,2849,3219,7500,7727,8262,1440,1499,1612,2983,3773,4972,6681,7030,8859,9824
5028,2023-06-18,0880,7245,9763,1546,1868,2482,2585,2698,2903,2919,3448,8658,9054,1875,2051,2641,3610,3651,5292,5917,7109,8576,9879
5029,2023-06-21,4193,8700,1366,2148,3049,4210,4897,4981,7083,7643,7913,8605,8836,0432,0674,1469,1890,3658,4829,5359,6022,6501,9225
5030,2023-06-24,9776,6004,2865,1818,2552,2959,3338,5245,5734,5891,7119,8102,8434,1305,1436,1572,2898,5459,6511,7253,7446,9724,9817
5031,2023-06-25,1161,6889,5249,0215,3049,4717,4888,5969,7437,7704,9157,9772,9815,0323,0530,0867,3915,5800,6656,9088,9098,9801,9944
5032,2023-06-28,7851,8808,5085,0115,0579,1503,1968,3087,5119,7155,8322,8500,9988,0315,1199,2149,2839,3366,3561,4510,4550,7724,9716
5033,2023-07-01,7589,8249,8308,0447,0784,1991,3462,5563,6761,7277,8191,8343,9981,1541,1576,1962,2048,4335,6794,6936,7410,8017,8241
5034,2023-07-02,5756,3966,8131,0771,2147,4446,4968,5420,5793,6505,9299,9418,9561,0919,1292,3298,3841,4202,4630,5762,6802,8025,8737
5035,2023-07-05,5260,3225,8290,0547,1629,1732,3363,3785,3853,5701,7028,7092,8085,0523,1044,1048,2051,2534,2827,3030,4442,8346,8385
5036,2023-07-08,0363,5181,4278,0029,1791,1996,3330,3990,4721,5082,5525,7721,9225,0722,1048,1640,2211,3671,3879,4569,5486,6747,8146
5037,2023-07-09,9480,8159,8484,0462,2417,3787,4330,4780,5307,7704,8198,8822,9389,0258,0618,1155,2463,5318,5546,6083,7852,9178,9445
5038,2023-07-12,9878,6307,1190,0054,1135,1371,1614,1809,2507,3566,3979,8553,9375,0023,0845,2151,4504,4794,5574,6151,6593,7618,8838
5039,2023-07-15,3785,1050,4853,0727,1499,3041,3833,5479,7207,7364,7553,9080,9392,2639,3702,4937,5989,6320,6689,7637,7839,9039,9521
5040,2023-07-16,3833,3403,3508,0242,1438,2040,2133,3335,3344,3431,3843,9111,9255,1531,3182,4655,4688,4972,5117,6962,8004,8553,9696
5041,2023-07-19,4234,3187,9047,0359,1316,3007,3482,3591,5528,6272,6447,6454,8856,3176,3671,5478,5730,6026,7778,8146,9030,9066,9437
5042,2023-07-22,8185,5502,8726,1286,3119,4548,5091,5764,8100,8562,8886,9275,9903,0161,1158,1375,2567,3338,3522,4259,5843,7442,8232
5043,2023-07-23,0653,1731,3090,0818,1393,1870,2539,3431,4508,4756,5276,8645,8827,0008,2698,3520,3593,6151,6164,6328,7189,7535,8141
5044,2023-07-26,9517,4601,8079,0436,1971,3084,3088,3498,3883,6330,7344,7579,8711,0050,0504,1183,1498,1845,2010,4547,8797,9215,9573
5045,2023-07-29,8887,7445,7922,0155,0924,1430,1438,2280,3015,3591,7548,8890,9237,1367,2484,2562,2733,6770,7176,8965,9011,9583,9939
5046,2023-07-30,5315,8571,8198,1332,1964,3418,4599,4922,7968,7981,8143,8335,9690,0210,0314,0629,0691,3067,5113,5849,6629,8879,8897
5047,2023-08-02,7545,8746,6740,0340,0735,1083,2450,2490,2671,3666,3756,5075,9102,0419,0741,1036,2481,2517,3406,4246,4315,7203,8157
5048,2023-08-05,9428,3116,5077,0004,0075,1379,2518,4163,6336,7431,7934,9574,9948,0514,1266,1363,2249,3209,3295,3355,3836,5424,8068
5049,2023-08-06,9732,1401,8664,0260,0851,1407,2798,3776,4089,5801,6112,6800,8204,0361,3024,3565,4952,4979,6736,6934,7032,7633,8648
5050,2023-08-09,5392,7547,1684,0327,0418,0830,0999,2757,3686,5761,5968,6669,8947,0688,2299,2535,3207,3575,4699,5126,7133,7877,8978
5051,2023-08-12,4012,4135,9638,0794,1495,3324,4112,4820,6218,9229,9566,9817,9827,1911,2920,2936,4339,4888,5314,5957,6788,6895,9491
5052,2023-08-13,4647,8442,1125,0518,2906,3638,5120,5757,8332,8881,9223,9342,9779,0433,1549,2446,3908,4018,4531,4775,7878,7913,8273
5053,2023-08-16,4182,3172,7069,1592,3276,4168,4546,5015,6212,6455,7133,7515,7807,0853,1322,1530,1658,2969,4980,5301,6891,7095,8918
5054,2023-08-19,4467,3811,9693,1084,4100,5972,6236,7196,8037,8129,8440,8963,9909,0234,0471,0981,1935,3952,4091,4907,9524,9791,9822
5055,2023-08-20,1863,7051,2808,0196,0773,1175,3092,3636,3778,4249,6607,7716,8105,1574,3856,4165,4686,4942,5817,7505,7993,8699,8758
5056,2023-08-23,6227,6037,0508,0054,3423,3786,6404,6469,6750,7367,8655,8682,9427,0737,2466,2711,3563,5091,5118,7240,7433,8911,9360
5057,2023-08-26,3334,0269,3483,0682,0762,1714,4439,5636,5733,6399,6779,7158,8986,0414,0439,0513,1078,3461,5797,7709,8185,9110,9544
5058,2023-08-27,4019,2422,1594,2526,4011,5352,5686,7362,7732,7763,8996,9045,9413,0399,1182,1189,3828,6831,7289,7315,8119,8446,9960
5059,2023-08-30,9345,6493,7056,2659,2718,3294,5103,5421,7323,8076,8261,9874,9981,0078,1333,2975,3814,3839,6160,6339,7093,8315,8821
5060,2023-09-02,0999,5283,3661,0227,1556,2270,3330,4694,5242,5913,7294,8538,9199,2514,3129,4781,5113,5651,7355,7487,8199,9253,9622
5061,2023-09-03,9235,3914,2346,0081,1885,4104,4819,6287,6633,7198,7694,7790,8567,1502,2670,3328,4709,4724,7154,8636,8721,9080,9660
5062,2023-09-06,2828,0984,9018,0168,1308,1759,1788,1999,3271,3401,4316,4348,6054,0454,2014,2682,3150,3992,4376,4867,5613,5740,7471
5063,2023-09-09,0993,7727,2612,0279,1494,2800,3295,4702,5822,7681,7763,8175,9392,0154,0931,2789,2934,3038,3455,3759,5908,8872,9273
5064,2023-09-10,9947,5702,9377,0232,0849,0850,2330,5382,5542,6136,6473,8670,9576,0197,0794,2762,4178,4692,5192,5677,6957,8121,9123
5065,2023-09-13,3131,3250,9864,1115,2319,3667,5148,5182,5249,5669,8312,9116,9990,0394,2177,2181,2659,2833,4985,6161,8277,8370,8590
5066,2023-09-16,9538,0398,8042,0968,1113,2094,3345,3861,4211,5110,6641,9573,9700,1378,2100,2549,3344,3819,4352,4497,7884,8077,8670
5067,2023-09-17,6349,8789,5582,0159,1663,2170,2420,2546,3099,4042,4540,6081,7334,2010,2130,2257,3005,3193,3898,4808,6115,9556,9948
5068,2023-09-20,7472,2883,2491,0624,1154,1813,3122,3439,4555,7268,8445,8761,9150,0015,0334,0664,0809,5069,5259,5941,6870,7675,9374
5069,2023-09-23,6147,4307,5766,0568,0627,1766,4710,4732,5632,5887,6866,8350,9186,0117,0519,1405,2175,3089,6367,6954,7048,8756,9672
5070,2023-09-24,3491,5825,1187,3760,4619,5329,5347,5722,6282,6778,8852,9272,9746,0859,1836,2336,3146,4402,4850,5773,8159,8841,9216
5071,2023-09-27,5445,1478,6592,1463,2538,2637,2700,4057,6496,7186,7484,8960,9953,1734,2393,3369,3492,4245,4598,4924,6411,6987,9952
5072,2023-09-30,2175,0999,2717,0317,1749,3786,4045,5539,5652,6128,6302,7457,9755,0253,0283,1856,4785,4851,5667,6743,7856,8524,8550
5073,2023-10-01,8084,7214,6145,1450,1724,4474,4756,6515,6530,7639,7658,7950,8701,3715,4012,5095,5144,5727,6280,6813,8915,9738,9775
5074,2023-10-04,2352,3507,2446,0051,2477,6351,6810,6947,7205,7547,7828,8183,8780,0277,0623,3843,5790,6192,6207,6961,7549,9059,9491
5075,2023-10-07,4900,2897,8794,0084,0835,2196,2750,4090,5581,5910,6334,9226,9985,1629,1684,2439,2477,3769,4112,5880,6582,8280,8636
5076,2023-10-08,2444,2636,7870,0716,1433,3876,4037,4864,6578,7079,7721,7807,8515,0473,2177,2491,3446,4888,5312,5650,5880,6494,7029
5077,2023-10-11,7359,5668,1310,0834,2770,4184,4450,5277,5646,6071,7467,7939,9325,1163,1172,2074,2250,3168,3310,4021,5579,6276,7811
5078,2023-10-14,0371,4819,6195,0007,0083,2317,2740,4591,6892,8040,8396,8485,8788,0137,2451,2508,3324,7008,7082,7481,8305,8962,9314
5079,2023-10-15,9007,8936,2054,3373,3469,3470,3999,4009,5481,5542,6771,6885,8476,0058,0061,0339,0946,1885,2598,3779,4973,6671,8479
5080,2023-10-18,4196,3199,9548,0466,1781,2432,4075,4152,4795,5219,6053,6790,8059,0714,2020,3163,3465,7344,7506,8044,9071,9412,9917
5081,2023-10-21,5854,4693,6018,0977,1882,4579,4616,4810,5330,5747,6163,6497,7818,0959,4210,4778,5185,5867,6000,6895,8901,8955,9359
5082,2023-10-22,2392,1312,1787,0312,0547,1683,1753,3524,5219,6151,7776,8545,9690,0263,1589,3695,6724,7344,8462,8698,9551,9921,9958
5083,2023-10-25,0629,6887,8318,0249,0877,1005,2512,4710,4879,4993,5797,5936,6480,0202,0791,2632,3949,4295,4582,7140,7400,7904,9397
5084,2023-10-28,8382,3500,2040,0205,0887,2529,3726,3937,6120,7923,8076,9258,9378,1827,2956,3192,3988,5395,5707,6422,7099,9648,9652
5085,2023-10-29,4186,9297,9527,0576,3027,3866,5073,5238,6222,6826,7407,9558,9812,0036,0071,1405,1742,3764,4980,5918,6006,6977,8942
5086,2023-11-01,3065,6615,4090,2844,3625,4436,4958,5633,5952,7593,8163,8268,8601,1861,5098,5562,6671,8213,8468,8623,8957,9546,9804
5087,2023-11-04,1080,8084,8721,0659,2245,2265,4617,6485,6632,7869,8363,8730,9138,1747,1868,1980,2560,3203,3370,4332,7000,7329,8565
5088,2023-11-05,8855,0134,0067,2496,4279,4719,5966,6249,6944,7832,9421,9532,9790,0831,2135,3011,3598,3739,4043,5141,6451,8309,8775
5089,2023-11-08,7232,6268,4169,0920,0961,1024,1120,2543,5544,6108,7860,8101,9688,1407,1914,2588,4934,6334,7216,7639,7818,9575,9890
5090,2023-11-11,4076,5934,5347,0059,0732,2561,3092,3190,4974,5552,6983,7809,7968,1009,1742,2683,3329,3630,3756,4601,7910,7918,9734
5091,2023-11-12,4102,5310,3333,0221,1647,3046,5820,5825,6333,6615,7272,7726,9372,0579,1645,2178,6862,6868,8383,9139,9459,9597,9919
5092,2023-11-15,6416,9788,7647,0302,2709,3645,5098,5197,5598,6087,8237,9252,9346,0333,0468,0924,1058,1746,2629,3747,5786,5890,8408
5093,2023-11-18,9479,4759,2403,2089,3933,6375,6404,6407,8248,8921,9162,9278,9978,0665,2766,3670,5053,5075,5537,6937,8465,8587,8765
5094,2023-11-19,5650,3746,4544,1037,1248,1685,1991,3211,5943,7605,8506,9357,9579,1317,1677,2071,2325,2937,3276,3969,6460,6586,9342
5095,2023-11-22,5183,7436,7226,0875,3541,3912,5617,6041,6165,6299,7349,8661,9038,1936,1991,2291,3226,7342,7512,7766,8137,8335,8810
5096,2023-11-25,8082,9953,1800,0713,1010,2035,3059,4206,5590,7004,7459,8007,9530,1256,2132,3170,3574,4639,6198,6323,7575,7712,8628
5097,2023-11-26,8400,7511,7927,1182,2036,2223,2916,4529,5965,6588,7793,7828,9299,1042,1677,2172,2234,3414,4259,4576,5318,7107,7295
5098,2023-11-29,9335,5960,3664,1020,1526,2972,3365,4802,8311,9344,9763,9811,9903,0678,0842,1830,2136,4586,4687,5592,7250,7819,9072
5099,2023-12-02,4283,5089,0638,0236,0416,0599,0654,1380,1407,1561,1583,3646,9927,0567,0831,1192,1624,1994,2577,3166,3579,3654,5985
